##not find in WinOSWmiParser.xml
DistinguishedName,resourceName
TargetDetails,details
Account_Name,user
Computer_Name,computer
Originating_Computer,srcName
FileHash,hashCode
FilePath,filePath
Fqbn,hostName
RuleId,ruleId,int
RuleName,ruleName
CallTrace,procPath
IntegrityLevel,integrityLevel
ParentIntegrityLevel,procTrustLevel,int
Company,company
ParentProcessGuid,procOwner
LogonGuid,uuid
ParentUser,userGrp
Hashes,hashCode
Hash,hashCode
Imphash,hashIMP
OriginalFilename,srcFileName
OriginalFileName,srcFileName
SourceFilename,srcFileName
ParentProcess,parentProcName
Product,product
sha1,hashSHA1
DestPort,destIpPort,int
Destination,destIpAddr,ip
destination.port,destIpPort,int
HostApplication,appName
TargetName,targetName
TargetProcessAddress,destMACAddr
Service,serviceName
Source,eventSource
SourceName,eventSource
Feature_Name,feature
Reason,reason
ImagePath,serviceFileName
Path,procPath
Payload,dataPayload
Properties,propName
QueryName,queryId
QueryResults,actionResult
QueryStatus,status
LogonProcessName,winLogonProc
ServicePrincipalNames,principal
HostVersion,version
FailureCode,winKerbFailCode
EngineVersion,version
DeviceClassName,deviceType
DeviceDescription,description
Status,winLogonFailCode2
AccessList,fileAccess
AccessMask,fileAccess
AttributeLDAPDisplayName,propName
ContextInfo,lineContent
AttributeValue,propValue
GroupSid,groupID
AuditPolicyChanges,actionName
CallingProcessName,procName
GrantedAccess,accessKeyId
KeyLength,msgLen
keywords,msg
Keywords,msg
LayerRTID,permissionLevelID
Level,permissionLevelType
LDAPDisplayName,propName
Value,propValue
ObjectClass,osObjType
ObjectServer,serverName
ObjectValueName,osObjValue
PipeName,vpnTunnelName
PrivilegeList,privName
RelativeTargetName,targetName
SAMAccountName,accountName
ScriptBlockText,script
ShareName,fileName
SidHistory,essId
Signed,authResult
StartFunction,funName
StartModule,module
TicketEncryptionType,encryptAlgo
TicketOptions,kerbTicketOption
IpAddress,srcIpAddr,ip
HiveName,procName
DestinationIsIpv6,isIpv6
AllowedToDelegateTo,_win_isAllowedToDelegateTo_removed
CallerProcessName,procName
Caption,description
CertThumbprint,certInfo
ClassName,deviceType
ModifyingApplication,appName
OldTargetUserName,oldTargetUser
ommandLine,command
OriginalName,originalProcName
Provider_Name,_win_providerName_removed
param1,paraName
param2,otherParaName
RemoteAddress,remoteAddress
SamAccountName,targetUser
TargetUserSid,userId
TargetSid,groupID
TemplateContent,templateContent
NewTemplateContent,newTemplateContent
NewTargetUserName,targetUser
RemoteName,targetName
LocalName,filePath
processPath,procName
Action,eventAction,int
ApplicationPath,procPath
SearchFilter,queryFilter
Address,remoteAddress
Origin,origLocation
PasswordLastSet,passwordLastSet,Data
TargetServerName,targetName
ServerName,serverName
DeviceName,hostName
AuditSourceName,resourceName
TargetLogonId,winLogonId
##find in WinOSWmiParser.xml
ComputerName,computer
CurrentDirectory,dirName
Description,description
FileVersion,fileVersion
GroupName,targetUserGrp
LogonId,winLogonId
NewName,newObjValue
ProcessName,procName
QNAME,destName
TargetFilename,fileName
User,user
SourceUser,user
Image,procName
ParentImage,parentProcName
SourceParentImage,srcParentProcName
TargetParentProcessId,targetParentProcId
StartAddress,startAddress
FilterName,filter
SubcategoryGuid,uuid
OldUacValue,oldRegValue
OldValue,oldRegValue
NewUacValue,newRegValue
Provider,providerName
PossibleCause,reason
CommandLine,command
TaskName,task
ServiceName,serviceName
TargetObject,regKeyPath
EventType,osObjAction
EventID,eventType
EventCode,eventType
Details,details
ParentCommandLine,parentCommand
Message,msg
HostName,hostName
FileName,fileName
TargetImage,targetProcName
Accesses,osObjAccessType
AccountName,user
DestinationIp,destIpAddr,ip
DestinationPort,destIpPort,int
DestinationHostname,destName
DestinationAddress,destIpAddr,ip
ObjectType,osObjType
ObjectName,osObjName
SourceImage,procName
SourceAddress,srcIpAddr,ip
SourcePort,srcIpPort,int
SourceNetworkAddress,srcIpAddr,ip
SourceWorkstation,srcName
TargetUserName,user
UserName,user
SubjectDomainName,domain
SubjectLogonId,winLogonId
SubjectUserName,user
SubjectUserSid,securityId
Workstation,computer
WorkstationName,computer
ServiceFileName,serviceFileName
Signature,signatureName
ImageLoaded,loadedProcName
LogonType,winLogonType,int
AuthenticationPackage,procName
AuthenticationPackageName,authenMethod
Device,deviceIdentification
PolicyName,policyName
TargetProcessId,targetProcId
TargetUser,targetUser
NewValue,newObjValue
SubjectAccountName,user
ClientAddress,srcIpAddr,ip
ProcessID,procId
TargetFileName,fileName
AccountDomain,domain
Computer,computer
DomainName,targetDomain
Initiated,initiated
Commandline,command
